"site","freq","mod","freqBin","amp"
"Florida","6Hz","box",0,0.5784165
"Florida","6Hz","box",0.428571428571429,0.455992203333333
"Florida","6Hz","box",0.857142857142857,0.683664666666667
"Florida","6Hz","box",1.28571428571429,1.36453033333333
"Florida","6Hz","box",1.71428571428571,1.844504
"Florida","6Hz","box",2.14285714285714,2.4033
"Florida","6Hz","box",2.57142857142857,2.38909133333333
"Florida","6Hz","box",3,2.01482466666667
"Florida","6Hz","box",3.42857142857143,2.26768466666667
"Florida","6Hz","box",3.85714285714286,2.01475133333333
"Florida","6Hz","box",4.28571428571429,1.891003
"Florida","6Hz","box",4.71428571428571,2.03990833333333
"Florida","6Hz","box",5.14285714285714,2.05398933333333
"Florida","6Hz","box",5.57142857142857,2.46801366666667
"Florida","6Hz","box",6,11.6649203333333
"Florida","6Hz","box",6.42857142857143,1.74058266666667
"Florida","6Hz","box",6.85714285714286,1.230971
"Florida","6Hz","box",7.28571428571429,1.27965033333333
"Florida","6Hz","box",7.71428571428571,1.387075
"Florida","6Hz","box",8.14285714285714,1.3290891
"Florida","6Hz","box",8.57142857142857,1.3976147
"Florida","6Hz","box",9,1.36575333333333
"Florida","6Hz","box",9.42857142857143,1.27018033333333
"Florida","6Hz","box",9.85714285714286,1.0908284
"Florida","6Hz","box",10.2857142857143,1.386794
"Florida","6Hz","box",10.7142857142857,1.2717922
"Florida","6Hz","box",11.1428571428571,1.14284666666667
"Florida","6Hz","box",11.5714285714286,1.37041733333333
"Florida","6Hz","box",12,3.62849433333333
"Florida","6Hz","box",12.4285714285714,1.03045933333333
"Florida","6Hz","box",12.8571428571429,0.8336446
"Florida","6Hz","box",13.2857142857143,0.708751666666667
"Florida","6Hz","box",13.7142857142857,0.643296233333333
"Florida","6Hz","box",14.1428571428571,0.6790319
"Florida","6Hz","box",14.5714285714286,0.7985324
"Florida","6Hz","box",15,0.595485766666667
"Florida","6Hz","box",15.4285714285714,0.5198383
"Florida","6Hz","box",15.8571428571429,0.588817166666667
"Florida","6Hz","box",16.2857142857143,0.492434733333333
"Florida","6Hz","box",16.7142857142857,0.477896633333333
"Florida","6Hz","box",17.1428571428571,0.685916
"Florida","6Hz","box",17.5714285714286,0.6959797
"Florida","6Hz","box",18,2.06226033333333
"Florida","6Hz","box",18.4285714285714,0.6853737
"Florida","6Hz","box",18.8571428571429,0.583316566666667
"Florida","6Hz","box",19.2857142857143,0.531271566666667
"Florida","6Hz","box",19.7142857142857,0.560392333333333
"Florida","6Hz","box",20.1428571428571,0.460853333333333
"Florida","6Hz","box",20.5714285714286,0.441441433333333
"Florida","6Hz","box",21,0.487304266666667
"Florida","6Hz","box",21.4285714285714,0.371600033333333
"Florida","6Hz","box",21.8571428571429,0.531554
"Florida","6Hz","box",22.2857142857143,0.446585266666667
"Florida","6Hz","box",22.7142857142857,0.455068533333333
"Florida","6Hz","box",23.1428571428571,0.5538287
