"freq","mod","freqBin","amp"
"6Hz","box",0,4.47129908333333
"6Hz","box",0.428571428571429,0.533263718333333
"6Hz","box",0.857142857142857,0.604530833333333
"6Hz","box",1.28571428571429,1.00104266666667
"6Hz","box",1.71428571428571,1.1842915
"6Hz","box",2.14285714285714,1.46702466666667
"6Hz","box",2.57142857142857,1.42175416666667
"6Hz","box",3,1.27284588333333
"6Hz","box",3.42857142857143,1.41807966666667
"6Hz","box",3.85714285714286,1.24979993333333
"6Hz","box",4.28571428571429,1.19289333333333
"6Hz","box",4.71428571428571,1.24943306666667
"6Hz","box",5.14285714285714,1.26787783333333
"6Hz","box",5.57142857142857,1.51595716666667
"6Hz","box",6,7.71951016666667
"6Hz","box",6.42857142857143,1.04819301666667
"6Hz","box",6.85714285714286,0.741474016666667
"6Hz","box",7.28571428571429,0.759360266666667
"6Hz","box",7.71428571428571,0.8369964
"6Hz","box",8.14285714285714,0.79575425
"6Hz","box",8.57142857142857,0.83496075
"6Hz","box",9,0.798822216666667
"6Hz","box",9.42857142857143,0.72152685
"6Hz","box",9.85714285714286,0.637942883333333
"6Hz","box",10.2857142857143,0.794710683333333
"6Hz","box",10.7142857142857,0.743524266666667
"6Hz","box",11.1428571428571,0.668032383333333
"6Hz","box",11.5714285714286,0.8262424
"6Hz","box",12,2.33526706666667
"6Hz","box",12.4285714285714,0.630476833333333
"6Hz","box",12.8571428571429,0.490473333333333
"6Hz","box",13.2857142857143,0.414111533333333
"6Hz","box",13.7142857142857,0.36724065
"6Hz","box",14.1428571428571,0.387644483333333
"6Hz","box",14.5714285714286,0.445618933333333
"6Hz","box",15,0.342960266666667
"6Hz","box",15.4285714285714,0.298650745
"6Hz","box",15.8571428571429,0.33166015
"6Hz","box",16.2857142857143,0.2915731
"6Hz","box",16.7142857142857,0.2893215
"6Hz","box",17.1428571428571,0.4018335
"6Hz","box",17.5714285714286,0.415119433333333
"6Hz","box",18,1.42482233333333
"6Hz","box",18.4285714285714,0.39479265
"6Hz","box",18.8571428571429,0.339314683333333
"6Hz","box",19.2857142857143,0.310220366666667
"6Hz","box",19.7142857142857,0.32913171
"6Hz","box",20.1428571428571,0.276697716666667
"6Hz","box",20.5714285714286,0.257266326666667
"6Hz","box",21,0.283004683333333
"6Hz","box",21.4285714285714,0.2231194
"6Hz","box",21.8571428571429,0.308487916666667
"6Hz","box",22.2857142857143,0.268351516666667
"6Hz","box",22.7142857142857,0.285096095
"6Hz","box",23.1428571428571,0.326133866666667
"6Hz","box",23.5714285714286,0.3740483
"6Hz","box",24,0.856834983333333
"6Hz","box",24.4285714285714,0.282217308333333
"6Hz","box",24.8571428571429,0.2153351
"6Hz","box",25.2857142857143,0.213253183333333
"6Hz","box",25.7142857142857,0.24024321
"6Hz","box",26.1428571428571,0.235838836666667
"6Hz","box",26.5714285714286,0.203493361666667
"6Hz","box",27,0.217179261666667
"6Hz","box",27.4285714285714,0.204094276666667
"6Hz","box",27.8571428571429,0.200421366666667
"6Hz","box",28.2857142857143,0.191248178333333
"6Hz","box",28.7142857142857,0.221174598333333
"6Hz","box",29.1428571428571,0.232598953333333
"6Hz","box",29.5714285714286,0.22412375
"6Hz","box",30,0.357602316666667
"6Hz","box",30.4285714285714,0.169630621666667
"6Hz","box",30.8571428571429,0.1746465
"6Hz","box",31.2857142857143,0.174757828333333
"6Hz","box",31.7142857142857,0.1652728
"6Hz","box",32.1428571428571,0.13771453
"6Hz","box",32.5714285714286,0.138061263333333
"6Hz","box",33,0.114848233333333
"6Hz","box",33.4285714285714,0.0885166633333333
