"part","lab","freq","mod","ssvep","ssvepSNR","ssvepZ","ssvepSNR_Z"
"LE_06","Leipzig","8.57Hz","square",16.024,16.5954218633084,-0.246490669416482,0.314271301234135
"LE_07","Leipzig","8.57Hz","square",20.4315,11.4147240806179,0.232705687875682,-0.607159268673879
"LE_08","Leipzig","8.57Hz","square",11.34015,10.148239294823,-0.755732611130129,-0.832414214417646
"LE_09","Leipzig","8.57Hz","square",15.8425,12.7522991165758,-0.266223882995274,-0.369260325447483
"LE_10","Leipzig","8.57Hz","square",38.0715,29.2942194863903,2.15057834644262,2.57285900926027
"LE_11","Leipzig","8.57Hz","square",15.2115,16.7500784566341,-0.334828058026779,0.341778274021531
"LE_12","Leipzig","8.57Hz","square",7.57615,8.46908832784649,-1.16496575664294,-1.1310653030089
"LE_13","Leipzig","8.57Hz","square",27.8335,20.5678921115832,1.03747288848297,1.02080846637053
"LE_14","Leipzig","8.57Hz","square",18.4675,12.6316689466484,0.0191738340533772,-0.390715413330747
"LE_15","Leipzig","8.57Hz","square",21.2685,10.8812544766193,0.323706788511767,-0.702041313884746
"FL_01","Florida","8.57Hz","sine",8.78935,5.32034926832221,-0.539481827707859,-0.969322579880013
"FL_02","Florida","8.57Hz","sine",6.94785,8.48172812227234,-0.786161670296856,-0.00290491392572027
"FL_03","Florida","8.57Hz","sine",20.2835,7.7727216117567,1.00022770945984,-0.219644649558092
"FL_04","Florida","8.57Hz","sine",8.8598,6.73859224131702,-0.530044632535231,-0.535772813452891
"FL_05","Florida","8.57Hz","sine",29.913,11.3193196223488,2.29015632429055,0.864532581270123
"FL_06","Florida","8.57Hz","sine",14.964,11.3911620294599,0.287649147063876,0.886494444939236
"FL_07","Florida","8.57Hz","sine",15.1125,7.18744426609595,0.30754160246679,-0.398560999815399
"FL_08","Florida","8.57Hz","sine",12.8605,6.20912744873203,0.00587285117142153,-0.697627546053386
"FL_09","Florida","8.57Hz","sine",9.5131,4.92027205254855,-0.442531224355273,-1.09162417893903
"FL_10","Florida","8.57Hz","sine",13.351,6.24206650692537,0.071578234168925,-0.687558241104958
"FL_11","Florida","8.57Hz","sine",11.2316,7.13525188996887,-0.212327960988892,-0.4145159475289
"FL_12","Florida","8.57Hz","sine",14.829,5.53362191208299,0.269565096697591,-0.904126201933199
"FL_13","Florida","8.57Hz","sine",13.4315,7.33460750853242,0.0823616864243768,-0.353573934411322
"FL_14","Florida","8.57Hz","sine",5.9715,7.10907667719268,-0.916949541223691,-0.422517578844114
"FL_15","Florida","8.57Hz","sine",6.4245,8.80529866676718,-0.856267505550155,0.0960089792925928
"LE_01","Leipzig","8.57Hz","sine",12.0965,11.5866025866672,-0.673500015591178,-0.576589234206103
"LE_02","Leipzig","8.57Hz","sine",24.829,15.4033221148627,0.710814815769566,0.102246358519357
"LE_03","Leipzig","8.57Hz","sine",21.429,11.2615287594923,0.34115682035417,-0.634406341939493
"LE_04","Leipzig","8.57Hz","sine",23.9975,13.4590577678071,0.620411691302536,-0.243557369184076
"LE_05","Leipzig","8.57Hz","sine",10.73115,13.9682591335531,-0.821944881485417,-0.152991633771956
"LE_06","Leipzig","8.57Hz","sine",9.14705,8.94456735646796,-0.994172890467043,-1.04649736820563
"LE_07","Leipzig","8.57Hz","sine",13.07,6.48016163218761,-0.567658233668564,-1.48481260415613
"LE_08","Leipzig","8.57Hz","sine",10.6019,10.0682093907213,-0.835997321458193,-0.846648204362494
"LE_09","Leipzig","8.57Hz","sine",12.329,9.2167379968976,-0.648221932081155,-0.998089536125322
"LE_10","Leipzig","8.57Hz","sine",27.823,14.8758253802764,1.03633129761477,0.0084266382495513
"LE_11","Leipzig","8.57Hz","sine",12.3005,14.9081609773538,-0.651320535866254,0.0141777955054174
"LE_12","Leipzig","8.57Hz","sine",6.01585,6.75945797143788,-1.33460615965666,-1.43513740675156
"LE_13","Leipzig","8.57Hz","sine",16.0935,9.53618250499963,-0.238934425098432,-0.94127365002251
"LE_14","Leipzig","8.57Hz","sine",11.9236,7.27825423470166,-0.692298211887449,-1.34286513830879
"LE_15","Leipzig","8.57Hz","sine",19.9135,8.95632814608258,0.176387205044748,-1.04440561309238
"FL_01","Florida","15Hz","square",7.1144,7.69860893936361,-0.763851310382005,-0.242300521941839
"FL_02","Florida","15Hz","square",4.4232,10.310669766954,-1.12435350553569,0.556193377381983
"FL_03","Florida","15Hz","square",9.75895,10.9413548671004,-0.409598159299338,0.748990650531975
"FL_04","Florida","15Hz","square",6.1506,8.0767677696179,-0.892958034404419,-0.126699263447395
"FL_05","Florida","15Hz","square",18.655,12.3555320064907,0.782080479670983,1.18129751201043
"FL_06","Florida","15Hz","square",15.6835,17.2898574290935,0.384030437719745,2.6896960552639
"FL_07","Florida","15Hz","square",8.766,10.5443588401927,-0.542609698641583,0.627630955461626
"FL_08","Florida","15Hz","square",6.74965,8.49600352445088,-0.812711735353135,0.00145900494996303
"FL_09","Florida","15Hz","square",6.85275,7.93231875124797,-0.798900879110439,-0.1708566041622
"FL_10","Florida","15Hz","square",6.36135,9.28511740772501,-0.864726822443718,0.242687162813115
"FL_11","Florida","15Hz","square",12.42515,14.6632796964708,-0.0524448623616329,1.88676441085278
"FL_12","Florida","15Hz","square",12.4275,9.14092582444862,-0.0521300659293311,0.198608518715744
"FL_13","Florida","15Hz","square",10.437,11.2763250654328,-0.318769341885561,0.851389360775834
"FL_14","Florida","15Hz","square",3.18385,8.77214492354319,-1.29037178569462,0.0858740462066263
"FL_15","Florida","15Hz","square",7.5133,14.4216133211766,-0.710416290447848,1.81288821152931
"LE_01","Leipzig","15Hz","square",11.0949,17.55494375089,-0.782396912122961,0.484930319922236
"LE_02","Leipzig","15Hz","square",13.129,22.4789511306678,-0.561243580218709,1.36070634788109
"LE_03","Leipzig","15Hz","square",18.0635,17.1966593917123,-0.0247502336371581,0.421206440415249
"LE_04","Leipzig","15Hz","square",14.0675,13.4245640654934,-0.459207101190077,-0.249692363564052
"LE_05","Leipzig","15Hz","square",7.3598,18.3830701310704,-1.18848796467474,0.632219545129493
"LE_06","Leipzig","15Hz","square",20.8875,22.8317989162069,0.282283348437277,1.42346328715023
"LE_07","Leipzig","15Hz","square",13.7115,17.4454888114891,-0.497912467768865,0.465462840555188
"LE_08","Leipzig","15Hz","square",13.989,15.8495375943577,-0.467741851966579,0.181609525571214
"LE_09","Leipzig","15Hz","square",16.2,20.870573457655,-0.227355432006744,1.07464288345297
"LE_10","Leipzig","15Hz","square",14.276,20.9913393815524,-0.436538368235927,1.09612211631888
"LE_11","Leipzig","15Hz","square",6.31765,14.6999866208285,-1.30179357641655,-0.0228477605141429
"LE_12","Leipzig","15Hz","square",6.85105,10.8149855361872,-1.24380076031226,-0.713827800977965
"LE_13","Leipzig","15Hz","square",25.876,36.0910225743237,0.824647733769542,3.78172746782814
"LE_14","Leipzig","15Hz","square",14.063,21.8047065481566,-0.459696354419303,1.24078629155269
"LE_15","Leipzig","15Hz","square",14.17515,16.1390735074361,-0.447503076717586,0.23310591709749
"FL_01","Florida","15Hz","sine",6.03495,7.80889717014091,-0.908450037551537,-0.208585962727636
"FL_02","Florida","15Hz","sine",3.7675,8.89563128287163,-1.21218840794438,0.123623207149571
"FL_03","Florida","15Hz","sine",9.4324,10.740452908607,-0.453341467796453,0.68757592905048
"FL_04","Florida","15Hz","sine",5.8939,7.86254323038083,-0.927344521286089,-0.192186631068944
"FL_05","Florida","15Hz","sine",17.442,12.7337105311188,0.619591938231693,1.29690479097621
"FL_06","Florida","15Hz","sine",14.035,19.9366459274411,0.163204089358105,3.49880602942966
"FL_07","Florida","15Hz","sine",7.72545,10.1515748807506,-0.681997540187052,0.507558868298128
"FL_08","Florida","15Hz","sine",6.8149,7.99031533776139,-0.803971111009431,-0.153127338433234
"FL_09","Florida","15Hz","sine",6.71775,8.1260811186781,-0.816984929476724,-0.111624419874122
"FL_10","Florida","15Hz","sine",6.01935,9.34576464606081,-0.910539750038308,0.261226719515034
"FL_11","Florida","15Hz","sine",12.4919,17.0589701308589,-0.0435033041249697,2.6191149657562
"FL_12","Florida","15Hz","sine",11.4035,9.08705153924461,-0.189300936855822,0.182139419829745
"FL_13","Florida","15Hz","sine",9.1673,10.6935971164277,-0.488853184478691,0.673252348294659
"FL_14","Florida","15Hz","sine",3.3579,8.90240992603197,-1.26705675631498,0.125695404378691
"FL_15","Florida","15Hz","sine",7.00215,15.3624142300035,-0.77888786337175,2.100486332615
"LE_01","Leipzig","15Hz","sine",9.13775,13.5404665498502,-0.995184013807444,-0.229078134227715
"LE_02","Leipzig","15Hz","sine",15.4245,20.6665773430696,-0.311670071843402,1.03836046282047
"LE_03","Leipzig","15Hz","sine",18.8645,18.0309301014117,0.0623368411651159,0.569588486182204
"LE_04","Leipzig","15Hz","sine",12.3619,13.4410116177294,-0.644644947360812,-0.246767028393742
"LE_05","Leipzig","15Hz","sine",7.5326,17.3682268849435,-1.16970064067245,0.451721158643737
"LE_06","Leipzig","15Hz","sine",17.768,25.7479259500779,-0.0568778623563492,1.94212094823242
"LE_07","Leipzig","15Hz","sine",15.03,16.4738957804138,-0.354561271605571,0.292656867712391
"LE_08","Leipzig","15Hz","sine",10.2609,15.4747783990438,-0.873071843939561,0.11495545822337
"LE_09","Leipzig","15Hz","sine",17.4175,17.716465352829,-0.0949852527660834,0.513658292093157
"LE_10","Leipzig","15Hz","sine",11.39475,19.4150646828051,-0.749796338615518,0.815768435227661
"LE_11","Leipzig","15Hz","sine",5.48615,15.9706271924079,-1.39219670088358,0.203146326601021
"LE_12","Leipzig","15Hz","sine",7.4881,11.4374959427827,-1.1745388114948,-0.603109101917865
"LE_13","Leipzig","15Hz","sine",26.056,21.3670097174956,0.844217862938592,1.16293823767268
"LE_14","Leipzig","15Hz","sine",15.4055,19.4061813074341,-0.313735807700135,0.81418845238092
"LE_15","Leipzig","15Hz","sine",12.8305,13.0406500759743,-0.593697377757384,-0.317974687875676
