"lab","freq","mod","electrode","x","y","amplitude"
"Florida","6Hz","square","E46",-77.0757795587277,-24.2279722926707,0.275343066666667
"Florida","6Hz","square","E47",-61.3490707363697,-27.4299165836118,0.310903466666667
"Florida","6Hz","square","E48",-147.073602828489,55.1905344696692,0.307884
"Florida","6Hz","square","E49",-148.427539841507,9.81951733019121,0.2956356
"Florida","6Hz","square","E50",-87.6147402607277,-51.9804690729627,0.302393666666667
"Florida","6Hz","square","E51",-64.3973497966683,-45.8325114211031,0.314448813333333
"Florida","6Hz","square","E52",-49.3286473753904,-38.0293353099208,0.363067733333333
"Florida","6Hz","square","E53",-31.8703858461666,-30.6802729781934,0.340087733333333
"Florida","6Hz","square","E54",-16.3380561246601,-24.5721384105547,0.409710666666667
"Florida","6Hz","square","E55",1.86009153028893e-15,-15.1888,0.316825133333333
"Florida","6Hz","square","E56",-134.514184844694,-53.5568924748948,0.318856266666667
"Florida","6Hz","square","E57",-107.771903337525,-61.2478444600876,0.300046733333333
"Florida","6Hz","square","E58",-72.0824426385969,-68.7392048197634,0.425410666666667
"Florida","6Hz","square","E59",-49.0164711950736,-60.6384229311954,0.435547333333333
"Florida","6Hz","square","E60",-33.5739711579434,-49.4397118183913,0.388690466666667
"Florida","6Hz","square","E61",-17.5616376782163,-41.0535015078989,0.453053333333333
"Florida","6Hz","square","E62",6.24863782796946e-15,-51.024,0.426445333333333
"Florida","6Hz","square","E63",-111.844618176326,-90.215004411638,0.3625998
"Florida","6Hz","square","E64",-82.7166311762146,-89.8591836311575,0.330672
"Florida","6Hz","square","E65",-53.2724548220446,-83.4923179534095,0.474801
"Florida","6Hz","square","E66",-32.9982073155436,-70.0930032026051,0.4343878
"Florida","6Hz","square","E67",-14.9843695227892,-59.7435310808167,0.460888733333333
"Florida","6Hz","square","E68",-70.8544927411257,-119.808404222733,0.388236666666667
"Florida","6Hz","square","E69",-50.7971288111611,-109.433046236237,0.377126
"Florida","6Hz","square","E70",-29.8089612459443,-93.6860097636664,0.478259266666667
"Florida","6Hz","square","E71",-12.5941162529112,-75.6650426009803,0.5411018
"Florida","6Hz","square","E72",8.04078595384169e-15,-65.658,0.5645892
"Florida","6Hz","square","E73",-34.2137515878335,-132.964697639208,0.441270066666667
"Florida","6Hz","square","E74",-15.7052501655887,-118.019611578908,0.505486
"Florida","6Hz","square","E75",1.18239648457677e-14,-96.55,0.679131333333333
"Florida","6Hz","square","E76",12.5941162529112,-75.6650426009803,0.617183333333333
"Florida","6Hz","square","E77",14.9843695227892,-59.7435310808167,0.608965333333333
"Florida","6Hz","square","E78",17.5616376782163,-41.0535015078989,0.436404
