"part","lab","freq","mod","ssvep","ssvepZ"
"LE_11","Leipzig","8.57Hz","square",4.9772,1.76317199590428
"LE_12","Leipzig","8.57Hz","square",3.7993,0.950715993921998
"LE_13","Leipzig","8.57Hz","square",2.01345,-0.281073250614939
"LE_14","Leipzig","8.57Hz","square",2.1553,-0.183232276099966
"LE_15","Leipzig","8.57Hz","square",2.72365,0.208786884038102
"FL_01","Florida","8.57Hz","sine",5.776,-0.331010245294898
"FL_02","Florida","8.57Hz","sine",5.0238,-0.441267015033398
"FL_03","Florida","8.57Hz","sine",9.3007,0.185636971266245
"FL_04","Florida","8.57Hz","sine",2.6066,-0.795577921457092
"FL_05","Florida","8.57Hz","sine",22.04485,2.05366251242938
"FL_06","Florida","8.57Hz","sine",13.14995,0.749856422098367
"FL_07","Florida","8.57Hz","sine",7.26625,-0.112570799532069
"FL_08","Florida","8.57Hz","sine",6.35345,-0.246368166478763
"FL_09","Florida","8.57Hz","sine",1.60405,-0.942530759135015
"FL_10","Florida","8.57Hz","sine",3.1049,-0.722537575324821
"FL_11","Florida","8.57Hz","sine",4.7307,-0.484229337833657
"FL_12","Florida","8.57Hz","sine",7.2094,-0.120903819154023
"FL_13","Florida","8.57Hz","sine",8.1515,0.0171883142820861
"FL_14","Florida","8.57Hz","sine",3.46965,-0.66907286279874
"FL_15","Florida","8.57Hz","sine",4.3045,-0.546701333662623
"LE_01","Leipzig","8.57Hz","sine",1.3397,-0.745792013952711
"LE_02","Leipzig","8.57Hz","sine",1.15706,-0.871767872855881
"LE_03","Leipzig","8.57Hz","sine",4.09315,1.15339890094508
"LE_04","Leipzig","8.57Hz","sine",1.68785,-0.505655706040213
"LE_05","Leipzig","8.57Hz","sine",0.855035,-1.08008948249906
"LE_06","Leipzig","8.57Hz","sine",2.5509,0.0896326482435191
"LE_07","Leipzig","8.57Hz","sine",1.4673,-0.657779970610374
"LE_08","Leipzig","8.57Hz","sine",2.8639,0.305524259263516
"LE_09","Leipzig","8.57Hz","sine",2.0231,-0.274417167399785
"LE_10","Leipzig","8.57Hz","sine",3.16895,0.515932361313516
"LE_11","Leipzig","8.57Hz","sine",2.6367,0.148813160146125
"LE_12","Leipzig","8.57Hz","sine",3.0682,0.446440093549092
"LE_13","Leipzig","8.57Hz","sine",1.50925,-0.628844976737246
"LE_14","Leipzig","8.57Hz","sine",1.03161,-0.958296954652873
"LE_15","Leipzig","8.57Hz","sine",1.75365,-0.460270185257096
"FL_01","Florida","15Hz","square",4.7631,-0.479480176254918
"FL_02","Florida","15Hz","square",2.15575,-0.861663091141488
"FL_03","Florida","15Hz","square",6.86575,-0.17127571349148
"FL_04","Florida","15Hz","square",1.59645,-0.943644759999163
"FL_05","Florida","15Hz","square",11.13235,0.454118508479119
"FL_06","Florida","15Hz","square",13.237,0.7626161293647
"FL_07","Florida","15Hz","square",6.15425,-0.275566715444343
"FL_08","Florida","15Hz","square",3.4299,-0.674899380476359
"FL_09","Florida","15Hz","square",0.93897,-1.04001756107291
"FL_10","Florida","15Hz","square",3.46145,-0.670274811099532
"FL_11","Florida","15Hz","square",10.5433,0.367776112554547
"FL_12","Florida","15Hz","square",8.2275,0.0283283229235722
"FL_13","Florida","15Hz","square",6.9329,-0.161432929540483
"FL_14","Florida","15Hz","square",1.330305,-0.982656044208221
"FL_15","Florida","15Hz","square",5.38825,-0.387846276225639
"LE_01","Leipzig","15Hz","square",1.8049,-0.424920520513406
"LE_02","Leipzig","15Hz","square",1.45225,-0.668160701427789
"LE_03","Leipzig","15Hz","square",1.62605,-0.548282228599433
"LE_04","Leipzig","15Hz","square",0.591215,-1.26205921035623
"LE_05","Leipzig","15Hz","square",0.63672,-1.23067215681162
"LE_06","Leipzig","15Hz","square",3.4931,0.739514679882627
"LE_07","Leipzig","15Hz","square",1.4132,-0.69509542158859
"LE_08","Leipzig","15Hz","square",1.390335,-0.710866545185946
"LE_09","Leipzig","15Hz","square",1.1076,-0.905882885894376
"LE_10","Leipzig","15Hz","square",1.14355,-0.881086389357095
"LE_11","Leipzig","15Hz","square",1.718,-0.484859756927584
"LE_12","Leipzig","15Hz","square",1.53975,-0.607807615280026
"LE_13","Leipzig","15Hz","square",0.525215,-1.30758268105054
"LE_14","Leipzig","15Hz","square",2.78645,0.252103156153296
"LE_15","Leipzig","15Hz","square",1.27975,-0.787142499833378
"FL_01","Florida","15Hz","sine",3.5512,-0.657119340368303
"FL_02","Florida","15Hz","sine",1.65655,-0.934835358428725
"FL_03","Florida","15Hz","sine",6.6882,-0.197300825784847
"FL_04","Florida","15Hz","sine",1.27291,-0.991068949418459
"FL_05","Florida","15Hz","sine",8.1533,0.0174521565920159
"FL_06","Florida","15Hz","sine",11.9021,0.566947740739436
"FL_07","Florida","15Hz","sine",4.4401,-0.526825212981235
"FL_08","Florida","15Hz","sine",3.8744,-0.609744987829772
"FL_09","Florida","15Hz","sine",1.47003,-0.96217528489991
"FL_10","Florida","15Hz","sine",3.51235,-0.662813936890957
"FL_11","Florida","15Hz","sine",9.8479,0.265845033484946
"FL_12","Florida","15Hz","sine",8.1982,0.0240335564341572
"FL_13","Florida","15Hz","sine",6.12335,-0.280096008431473
"FL_14","Florida","15Hz","sine",1.3293065,-0.982802403400702
"FL_15","Florida","15Hz","sine",5.42575,-0.382349561435432
"LE_01","Leipzig","15Hz","sine",1.24785,-0.809145510668962
"LE_02","Leipzig","15Hz","sine",1.76645,-0.451441390940623
"LE_03","Leipzig","15Hz","sine",1.3075,-0.768001949655088
"LE_04","Leipzig","15Hz","sine",0.50832,-1.31923599979873
"LE_05","Leipzig","15Hz","sine",0.63961,-1.22867878059485
"LE_06","Leipzig","15Hz","sine",3.74685,0.914538629711139
"LE_07","Leipzig","15Hz","sine",1.59365,-0.570630114213004
"LE_08","Leipzig","15Hz","sine",1.330145,-0.752382570960047
"LE_09","Leipzig","15Hz","sine",0.97956,-0.994198419041342
"LE_10","Leipzig","15Hz","sine",1.7014,-0.496309599556759
"LE_11","Leipzig","15Hz","sine",2.09535,-0.224582761980633
"LE_12","Leipzig","15Hz","sine",1.412515,-0.695567900034433
"LE_13","Leipzig","15Hz","sine",0.643615,-1.22591633362317
"LE_14","Leipzig","15Hz","sine",2.4211,0.000103155878038078
"LE_15","Leipzig","15Hz","sine",1.41505,-0.693819384910038
