"lab","freq","mod","electrode","x","y","amplitude","amplitudeSNR"
"Florida","6Hz","square","E33",-86.5427774390136,55.8179182444255,12.4605866666667,4.32695014762823
"Florida","6Hz","square","E34",-73.2735964589411,31.8739532843394,8.83782,4.09898360862357
"Florida","6Hz","square","E35",-58.7070104036568,13.6367088941921,7.5945,4.16186832208644
"Florida","6Hz","square","E36",-45.139000940819,2.34746545549408,8.36526,4.73423846670656
"Florida","6Hz","square","E37",-29.3939238752213,-11.4188613800894,11.7631666666667,4.84338216156803
"Florida","6Hz","square","E38",-111.066561880691,61.2336542760814,10.9894333333333,4.29905609763542
"Florida","6Hz","square","E39",-106.979294016482,12.6447944916077,10.15508,4.20850021648795
"Florida","6Hz","square","E40",-82.0312253490634,0.356499272328901,7.01315333333333,4.19138372803614
"Florida","6Hz","square","E41",-62.3658981365752,-7.23363018257962,7.45394,4.30095573215769
"Florida","6Hz","square","E42",-48.4277069849025,-19.0176228846936,10.1502733333333,4.46200525087946
"Florida","6Hz","square","E43",-132.385776483018,49.089223063604,14.8851866666667,4.40607810232992
"Florida","6Hz","square","E44",-127.856243406767,23.8953117140088,12.3483333333333,4.09639654632355
"Florida","6Hz","square","E45",-102.023724252225,-26.0624191069444,10.0224933333333,4.35242669655376
"Florida","6Hz","square","E46",-77.0757795587277,-24.2279722926707,7.75357333333333,4.4627601247487
"Florida","6Hz","square","E47",-61.3490707363697,-27.4299165836118,7.77600666666667,4.68044415442089
"Florida","6Hz","square","E48",-147.073602828489,55.1905344696692,19.0499333333333,4.50106423432751
"Florida","6Hz","square","E49",-148.427539841507,9.81951733019121,15.9246666666667,4.50094706263736
"Florida","6Hz","square","E50",-87.6147402607277,-51.9804690729627,8.57202666666667,4.72021469863686
"Florida","6Hz","square","E51",-64.3973497966683,-45.8325114211031,12.6783666666667,4.67125167819062
"Florida","6Hz","square","E52",-49.3286473753904,-38.0293353099208,8.85658,4.92075247794235
"Florida","6Hz","square","E53",-31.8703858461666,-30.6802729781934,12.2091533333333,4.91559354572666
"Florida","6Hz","square","E54",-16.3380561246601,-24.5721384105547,10.55446,5.18775379566277
"Florida","6Hz","square","E55",1.86009153028893e-15,-15.1888,19.6675533333333,4.95264327559021
"Florida","6Hz","square","E56",-134.514184844694,-53.5568924748948,14.12954,4.53766587240164
"Florida","6Hz","square","E57",-107.771903337525,-61.2478444600876,9.30457333333333,4.73223276074067
"Florida","6Hz","square","E58",-72.0824426385969,-68.7392048197634,9.34962666666667,5.06778637216466
"Florida","6Hz","square","E59",-49.0164711950736,-60.6384229311954,9.86654666666667,5.27114426609971
"Florida","6Hz","square","E60",-33.5739711579434,-49.4397118183913,13.05524,5.20304243403787
"Florida","6Hz","square","E61",-17.5616376782163,-41.0535015078989,10.4607133333333,5.35290667516417
"Florida","6Hz","square","E62",6.24863782796946e-15,-51.024,18.74522,5.42168693747959
"Florida","6Hz","square","E63",-111.844618176326,-90.215004411638,13.85928,4.8169403056967
"Florida","6Hz","square","E64",-82.7166311762146,-89.8591836311575,9.84834,4.62512336258092
"Florida","6Hz","square","E65",-53.2724548220446,-83.4923179534095,10.9952133333333,5.48121206338287
"Florida","6Hz","square","E66",-32.9982073155436,-70.0930032026051,12.69812,5.18647474595229
"Florida","6Hz","square","E67",-14.9843695227892,-59.7435310808167,11.54154,5.51099602260644
"Florida","6Hz","square","E68",-70.8544927411257,-119.808404222733,13.21096,5.08382369158715
"Florida","6Hz","square","E69",-50.7971288111611,-109.433046236237,8.84818666666667,4.96012268978946
"Florida","6Hz","square","E70",-29.8089612459443,-93.6860097636664,14.6615333333333,5.91038003049365
"Florida","6Hz","square","E71",-12.5941162529112,-75.6650426009803,14.7373466666667,6.64116176359881
"Florida","6Hz","square","E72",8.04078595384169e-15,-65.658,20.0224666666667,6.24971774448674
"Florida","6Hz","square","E73",-34.2137515878335,-132.964697639208,15.27154,5.80111944677987
"Florida","6Hz","square","E74",-15.7052501655887,-118.019611578908,11.7394266666667,6.60894483529249
"Florida","6Hz","square","E75",1.18239648457677e-14,-96.55,19.6108466666667,8.94831989741395
"Florida","6Hz","square","E76",12.5941162529112,-75.6650426009803,18.59014,7.42045409804819
"Florida","6Hz","square","E77",14.9843695227892,-59.7435310808167,18.0064,6.98657674481957
"Florida","6Hz","square","E78",17.5616376782163,-41.0535015078989,12.4195533333333,5.45468853997017
"Florida","6Hz","square","E79",16.3380561246601,-24.5721384105547,10.6822,5.05140178508005
"Florida","6Hz","square","E80",14.2590609871468,-4.99065843399723,12.6997133333333,4.50019140149478
"Florida","6Hz","square","E81",1.66253150865048e-14,-135.756,14.86146,5.71438567622415
"Florida","6Hz","square","E82",15.7052501655887,-118.019611578908,11.1957066666667,6.23410262637656
"Florida","6Hz","square","E83",29.8089612459443,-93.6860097636664,14.7667466666667,6.93481583172161
"Florida","6Hz","square","E84",32.9982073155436,-70.0930032026051,13.6493266666667,5.69625429718425
"Florida","6Hz","square","E85",33.5739711579434,-49.4397118183913,12.9388066666667,5.19113864241828
"Florida","6Hz","square","E86",31.8703858461666,-30.6802729781934,13.5718933333333,5.34344856587809
"Florida","6Hz","square","E87",29.3939238752213,-11.4188613800894,11.3762333333333,4.99160547101356
"Florida","6Hz","square","E88",34.2137515878335,-132.964697639208,14.10982,4.98563470081425
"Florida","6Hz","square","E89",50.7971288111611,-109.433046236237,9.60209333333333,4.76222274677931
"Florida","6Hz","square","E90",53.2724548220446,-83.4923179534095,12.0446733333333,5.05591021644714
"Florida","6Hz","square","E91",49.0164711950736,-60.6384229311954,13.3450866666667,5.66502961318833
"Florida","6Hz","square","E92",49.3286473753904,-38.0293353099208,9.47068666666667,5.4026443286102
"Florida","6Hz","square","E93",48.4277069849025,-19.0176228846936,9.88725333333333,4.77479417866409
"Florida","6Hz","square","E94",70.8544927411257,-119.808404222733,14.48386,4.89520734425463
"Florida","6Hz","square","E95",82.7166311762146,-89.8591836311575,9.46285333333333,4.57979469663229
"Florida","6Hz","square","E96",72.0824426385969,-68.7392048197634,12.4603066666667,5.55805457308881
"Florida","6Hz","square","E97",64.3973497966683,-45.8325114211031,8.85169333333333,5.05193029259031
"Florida","6Hz","square","E98",61.3490707363697,-27.4299165836118,9.58392,4.72357928821083
"Florida","6Hz","square","E99",111.844618176326,-90.215004411638,17.2355733333333,4.50569625005794
"Florida","6Hz","square","E100",107.771903337525,-61.2478444600876,12.7597866666667,4.33984252537922
"Florida","6Hz","square","E101",87.6147402607277,-51.9804690729627,9.83124666666667,4.7422975622345
"Florida","6Hz","square","E102",77.0757795587277,-24.2279722926707,10.4244866666667,4.41862846655725
"Florida","6Hz","square","E103",62.3658981365752,-7.23363018257962,7.79612,4.34337359396496
"Florida","6Hz","square","E104",45.139000940819,2.34746545549408,9.87657333333333,4.91734992460499
"Florida","6Hz","square","E105",28.5960902390953,7.43167134886356,10.9831266666667,4.85691201424788
"Florida","6Hz","square","E106",9.06629877496366,11.5485593631021,13.8951933333333,4.80855168195765
"Florida","6Hz","square","E107",134.514184844694,-53.5568924748948,17.9131133333333,4.45169327886496
"Florida","6Hz","square","E108",102.023724252225,-26.0624191069444,10.9467133333333,4.4131336147856
"Florida","6Hz","square","E109",82.0312253490634,0.356499272328901,9.99848666666667,4.6144914204976
"Florida","6Hz","square","E110",58.7070104036568,13.6367088941921,7.73471333333333,4.24004853557006
"Florida","6Hz","square","E111",39.6304283909149,22.4510456227002,9.68394666666667,4.63969882781221
"Florida","6Hz","square","E112",18.7176485153145,25.0067456910559,13.77882,4.76711625256462
"Florida","6Hz","square","E113",148.427539841507,9.81951733019121,20.0046666666667,4.63727866322584
"Florida","6Hz","square","E114",127.856243406767,23.8953117140088,15.0483133333333,4.21034319255776
"Florida","6Hz","square","E115",106.979294016482,12.6447944916077,12.61512,4.25302224928646
"Florida","6Hz","square","E116",73.2735964589411,31.8739532843394,8.91342666666667,4.32452396318048
"Florida","6Hz","square","E117",50.0298983002845,37.5034658673461,8.77884,4.33491195894507
"Florida","6Hz","square","E118",31.3121246459833,41.9182840077502,9.45804,4.31333557272835
"Florida","6Hz","square","E119",147.073602828489,55.1905344696692,19.3708,4.62651677606436
"Florida","6Hz","square","E120",132.385776483018,49.089223063604,15.7280866666667,4.52309409792039
"Florida","6Hz","square","E121",111.066561880691,61.2336542760814,12.5784733333333,4.21833517051294
"Florida","6Hz","square","E122",86.5427774390136,55.8179182444255,11.0934733333333,4.3140732926149
"Florida","6Hz","square","E123",56.2717346283799,54.0022587112168,9.3127,4.2560156658212
"Florida","6Hz","square","E124",39.5281102525102,53.3724044414846,10.1005666666667,4.26206977646754
"Florida","6Hz","square","E125",107.29091960617,79.3302648808283,13.8236733333333,4.37954647013313
"Florida","6Hz","square","E126",71.1683422201787,126.406610434864,17.0113133333333,4.41110595013915
"Florida","6Hz","square","E127",-71.1683422201787,126.406610434864,18.58424,4.65384983218384
"Florida","6Hz","square","E128",-107.29091960617,79.3302648808283,13.2504066666667,4.42329824629223
"Florida","6Hz","square","Cz",0,0,15.7804066666667,4.72184686976211
"Florida","6Hz","sine","E1",86.719831310897,82.7208230943671,12.23002,4.29881042977
"Florida","6Hz","sine","E2",60.5117564493148,76.717478004812,13.8569533333333,4.31932919525078
"Florida","6Hz","sine","E3",35.2634825458284,69.6677676887961,11.4309666666667,4.43525721836446
"Florida","6Hz","sine","E4",23.6192388587642,58.8318312797812,10.9473866666667,4.33956815752313
"Florida","6Hz","sine","E5",11.4069836172611,43.8485528695707,10.4799133333333,4.38496720823301
"Florida","6Hz","sine","E6",0,28.614,11.0614133333333,4.45896810291298
"Florida","6Hz","sine","E7",-9.06629877496366,11.5485593631021,9.26507333333333,4.59318057029383
"Florida","6Hz","sine","E8",51.097415472918,96.8083637295249,16.1085133333333,4.54119354872939
"Florida","6Hz","sine","E9",26.8737792539972,88.585411736964,16.1148533333333,4.55251648865358
