"lab","freq","mod","freqBin","amp"
"Florida","6Hz","square",0,0.704060893333333
"Florida","6Hz","square",0.428571428571429,0.06000732
"Florida","6Hz","square",0.857142857142857,0.1097506
"Florida","6Hz","square",1.28571428571429,0.242914333333333
"Florida","6Hz","square",1.71428571428571,0.2901896
"Florida","6Hz","square",2.14285714285714,0.257483333333333
"Florida","6Hz","square",2.57142857142857,0.329262666666667
"Florida","6Hz","square",3,0.2902508
"Florida","6Hz","square",3.42857142857143,0.353826666666667
"Florida","6Hz","square",3.85714285714286,0.2744014
"Florida","6Hz","square",4.28571428571429,0.309572866666667
"Florida","6Hz","square",4.71428571428571,0.2736122
"Florida","6Hz","square",5.14285714285714,0.310234666666667
"Florida","6Hz","square",5.57142857142857,0.383264666666667
"Florida","6Hz","square",6,1.71014866666667
"Florida","6Hz","square",6.42857142857143,0.2355516
"Florida","6Hz","square",6.85714285714286,0.189006
"Florida","6Hz","square",7.28571428571429,0.2133742
"Florida","6Hz","square",7.71428571428571,0.2105242
"Florida","6Hz","square",8.14285714285714,0.227175866666667
"Florida","6Hz","square",8.57142857142857,0.1961164
"Florida","6Hz","square",9,0.176150933333333
"Florida","6Hz","square",9.42857142857143,0.179681353333333
"Florida","6Hz","square",9.85714285714286,0.126858533333333
"Florida","6Hz","square",10.2857142857143,0.188973933333333
"Florida","6Hz","square",10.7142857142857,0.1664792
"Florida","6Hz","square",11.1428571428571,0.146066326666667
"Florida","6Hz","square",11.5714285714286,0.196103333333333
"Florida","6Hz","square",12,0.451558
"Florida","6Hz","square",12.4285714285714,0.1094544
"Florida","6Hz","square",12.8571428571429,0.102024133333333
"Florida","6Hz","square",13.2857142857143,0.0956571333333333
"Florida","6Hz","square",13.7142857142857,0.0643016666666667
"Florida","6Hz","square",14.1428571428571,0.0761901333333333
"Florida","6Hz","square",14.5714285714286,0.0640443333333333
"Florida","6Hz","square",15,0.0577264666666667
"Florida","6Hz","square",15.4285714285714,0.0484973333333333
"Florida","6Hz","square",15.8571428571429,0.0456494666666667
"Florida","6Hz","square",16.2857142857143,0.0590538533333333
"Florida","6Hz","square",16.7142857142857,0.0563000866666667
"Florida","6Hz","square",17.1428571428571,0.0726684
"Florida","6Hz","square",17.5714285714286,0.0998724
"Florida","6Hz","square",18,0.333911333333333
"Florida","6Hz","square",18.4285714285714,0.0861752
"Florida","6Hz","square",18.8571428571429,0.0682372
"Florida","6Hz","square",19.2857142857143,0.0629685066666667
"Florida","6Hz","square",19.7142857142857,0.0620876
"Florida","6Hz","square",20.1428571428571,0.0519832666666667
"Florida","6Hz","square",20.5714285714286,0.0480720066666667
"Florida","6Hz","square",21,0.0519408
"Florida","6Hz","square",21.4285714285714,0.0493236
"Florida","6Hz","square",21.8571428571429,0.0439835
"Florida","6Hz","square",22.2857142857143,0.0414057333333333
"Florida","6Hz","square",22.7142857142857,0.0464915333333333
"Florida","6Hz","square",23.1428571428571,0.05751074
"Florida","6Hz","square",23.5714285714286,0.0676378666666667
"Florida","6Hz","square",24,0.191500333333333
"Florida","6Hz","square",24.4285714285714,0.0534527333333333
"Florida","6Hz","square",24.8571428571429,0.03462748
"Florida","6Hz","square",25.2857142857143,0.03629672
"Florida","6Hz","square",25.7142857142857,0.0382474133333333
"Florida","6Hz","square",26.1428571428571,0.0345624666666667
"Florida","6Hz","square",26.5714285714286,0.0378751866666667
"Florida","6Hz","square",27,0.0293333333333333
"Florida","6Hz","square",27.4285714285714,0.0261483666666667
"Florida","6Hz","square",27.8571428571429,0.0220512133333333
"Florida","6Hz","square",28.2857142857143,0.02266878
"Florida","6Hz","square",28.7142857142857,0.0346609333333333
"Florida","6Hz","square",29.1428571428571,0.0265376666666667
"Florida","6Hz","square",29.5714285714286,0.0326859466666667
"Florida","6Hz","square",30,0.0475321466666667
"Florida","6Hz","square",30.4285714285714,0.0261023066666667
"Florida","6Hz","square",30.8571428571429,0.01618186
"Florida","6Hz","square",31.2857142857143,0.0206486666666667
"Florida","6Hz","square",31.7142857142857,0.0201616533333333
"Florida","6Hz","square",32.1428571428571,0.0169672853333333
"Florida","6Hz","square",32.5714285714286,0.01655736
"Florida","6Hz","square",33,0.014371
"Florida","6Hz","square",33.4285714285714,0.0118354666666667
"Florida","6Hz","square",33.8571428571429,0.0122152133333333
"Florida","6Hz","square",34.2857142857143,0.00950908666666667
"Florida","6Hz","square",34.7142857142857,0.00912543333333333
"Florida","6Hz","square",35.1428571428571,0.00902826666666667
"Florida","6Hz","square",35.5714285714286,0.00823113533333333
"Florida","6Hz","square",36,0.00839866
"Florida","6Hz","square",36.4285714285714,0.00685804
"Florida","6Hz","square",36.8571428571429,0.00744962666666667
"Florida","6Hz","square",37.2857142857143,0.00715534
"Florida","6Hz","square",37.7142857142857,0.00689696666666667
"Florida","6Hz","square",38.1428571428571,0.00666644666666667
"Florida","6Hz","square",38.5714285714286,0.00653646
"Florida","6Hz","square",39,0.00642194
"Florida","6Hz","square",39.4285714285714,0.006403216
"Florida","6Hz","square",39.8571428571429,0.006238952
"Florida","6Hz","square",40.2857142857143,0.006158012
"Florida","6Hz","square",40.7142857142857,0.00605143466666667
"Florida","6Hz","square",41.1428571428571,0.005969584
"Florida","6Hz","square",41.5714285714286,0.00591637266666667
"Florida","6Hz","square",42,0.00582678533333333
"Florida","6Hz","square",42.4285714285714,0.00575173533333333
"Florida","6Hz","square",42.8571428571429,0.00568144533333333
"Florida","6Hz","square",43.2857142857143,0.00561492066666667
"Florida","6Hz","square",43.7142857142857,0.00554175533333333
"Florida","6Hz","square",44.1428571428571,0.00549033466666667
"Florida","6Hz","square",44.5714285714286,0.00542630133333333
"Florida","6Hz","square",45,0.005366822
"Florida","6Hz","square",45.4285714285714,0.00531609333333333
"Florida","6Hz","square",45.8571428571429,0.00527950466666667
"Florida","6Hz","square",46.2857142857143,0.00518511866666667
"Florida","6Hz","square",46.7142857142857,0.00513704866666667
"Florida","6Hz","square",47.1428571428571,0.00508546933333333
"Florida","6Hz","square",47.5714285714286,0.00503324613333333
