"site","freq","mod","electrode","x","y","amplitude"
"Florida","6Hz","sine","E44",-127.856243406767,23.8953117140088,0.431050333333333
"Florida","6Hz","sine","E45",-102.023724252225,-26.0624191069444,0.269445533333333
"Florida","6Hz","sine","E46",-77.0757795587277,-24.2279722926707,0.1928824
"Florida","6Hz","sine","E47",-61.3490707363697,-27.4299165836118,0.177022866666667
"Florida","6Hz","sine","E48",-147.073602828489,55.1905344696692,0.3597846
"Florida","6Hz","sine","E49",-148.427539841507,9.81951733019121,0.3731
"Florida","6Hz","sine","E50",-87.6147402607277,-51.9804690729627,0.261474733333333
"Florida","6Hz","sine","E51",-64.3973497966683,-45.8325114211031,0.202760666666667
"Florida","6Hz","sine","E52",-49.3286473753904,-38.0293353099208,0.3126688
"Florida","6Hz","sine","E53",-31.8703858461666,-30.6802729781934,0.3540856
"Florida","6Hz","sine","E54",-16.3380561246601,-24.5721384105547,0.446668266666667
"Florida","6Hz","sine","E55",1.86009153028893e-15,-15.1888,0.430383333333333
"Florida","6Hz","sine","E56",-134.514184844694,-53.5568924748948,0.301419333333333
"Florida","6Hz","sine","E57",-107.771903337525,-61.2478444600876,0.2873538
"Florida","6Hz","sine","E58",-72.0824426385969,-68.7392048197634,0.330879066666667
"Florida","6Hz","sine","E59",-49.0164711950736,-60.6384229311954,0.458016133333333
"Florida","6Hz","sine","E60",-33.5739711579434,-49.4397118183913,0.511067866666667
"Florida","6Hz","sine","E61",-17.5616376782163,-41.0535015078989,0.624745266666667
"Florida","6Hz","sine","E62",6.24863782796946e-15,-51.024,0.939149733333333
"Florida","6Hz","sine","E63",-111.844618176326,-90.215004411638,0.352614533333333
"Florida","6Hz","sine","E64",-82.7166311762146,-89.8591836311575,0.420989866666667
"Florida","6Hz","sine","E65",-53.2724548220446,-83.4923179534095,0.6397008
"Florida","6Hz","sine","E66",-32.9982073155436,-70.0930032026051,0.802742
"Florida","6Hz","sine","E67",-14.9843695227892,-59.7435310808167,0.827502533333333
"Florida","6Hz","sine","E68",-70.8544927411257,-119.808404222733,0.623076466666667
"Florida","6Hz","sine","E69",-50.7971288111611,-109.433046236237,0.771520666666667
"Florida","6Hz","sine","E70",-29.8089612459443,-93.6860097636664,1.0492124
"Florida","6Hz","sine","E71",-12.5941162529112,-75.6650426009803,1.1615234
"Florida","6Hz","sine","E72",8.04078595384169e-15,-65.658,1.12052286666667
"Florida","6Hz","sine","E73",-34.2137515878335,-132.964697639208,0.946972
"Florida","6Hz","sine","E74",-15.7052501655887,-118.019611578908,1.16250466666667
"Florida","6Hz","sine","E75",1.18239648457677e-14,-96.55,1.441268
"Florida","6Hz","sine","E76",12.5941162529112,-75.6650426009803,1.2233104
"Florida","6Hz","sine","E77",14.9843695227892,-59.7435310808167,1.00459653333333
"Florida","6Hz","sine","E78",17.5616376782163,-41.0535015078989,0.721263333333333
"Florida","6Hz","sine","E79",16.3380561246601,-24.5721384105547,0.454426666666667
"Florida","6Hz","sine","E80",14.2590609871468,-4.99065843399723,0.294528533333333
"Florida","6Hz","sine","E81",1.66253150865048e-14,-135.756,1.025562
"Florida","6Hz","sine","E82",15.7052501655887,-118.019611578908,1.075232
"Florida","6Hz","sine","E83",29.8089612459443,-93.6860097636664,1.16360333333333
"Florida","6Hz","sine","E84",32.9982073155436,-70.0930032026051,0.835194133333333
"Florida","6Hz","sine","E85",33.5739711579434,-49.4397118183913,0.593084266666667
"Florida","6Hz","sine","E86",31.8703858461666,-30.6802729781934,0.512965333333333
"Florida","6Hz","sine","E87",29.3939238752213,-11.4188613800894,0.288269266666667
"Florida","6Hz","sine","E88",34.2137515878335,-132.964697639208,0.842709333333333
"Florida","6Hz","sine","E89",50.7971288111611,-109.433046236237,0.7927622
"Florida","6Hz","sine","E90",53.2724548220446,-83.4923179534095,0.6515282
"Florida","6Hz","sine","E91",49.0164711950736,-60.6384229311954,0.458271666666667
"Florida","6Hz","sine","E92",49.3286473753904,-38.0293353099208,0.365138586666667
"Florida","6Hz","sine","E93",48.4277069849025,-19.0176228846936,0.2674472
"Florida","6Hz","sine","E94",70.8544927411257,-119.808404222733,0.644537333333333
"Florida","6Hz","sine","E95",82.7166311762146,-89.8591836311575,0.453877333333333
"Florida","6Hz","sine","E96",72.0824426385969,-68.7392048197634,0.334121466666667
"Florida","6Hz","sine","E97",64.3973497966683,-45.8325114211031,0.263418533333333
"Florida","6Hz","sine","E98",61.3490707363697,-27.4299165836118,0.233762733333333
"Florida","6Hz","sine","E99",111.844618176326,-90.215004411638,0.438977333333333
"Florida","6Hz","sine","E100",107.771903337525,-61.2478444600876,0.347281333333333
