"lab","freq","mod","trial","amplitude","amplitude_smoothed","SNR","SNR_smoothed"
"Florida","6Hz","square",1,16.6290846153846,15.9776382017982,10.8997384615385,9.95269790164381
"Florida","6Hz","square",2,17.6118,15.6360264835165,8.15801818181818,9.75368576877668
"Florida","6Hz","square",3,15.4091807692308,15.5361824275724,11.6764465384615,9.52548220733812
"Florida","6Hz","square",4,13.78399,15.8532883716284,8.27156,9.41076302901644
"Florida","6Hz","square",5,14.4239571428571,15.8819692807193,7.61992142857143,9.15229743461084
"Florida","6Hz","square",6,14.7505846153846,15.8099547702298,8.3553,9.09599815888657
"Florida","6Hz","square",7,12.8713557142857,15.9184441558442,8.710605,8.86869823381164
"Florida","6Hz","square",8,15.5308,15.8760954545455,8.38949928571429,8.95601456793207
"Florida","6Hz","square",9,20.11725,15.9814716783217,9.6378275,8.68703914835165
"Florida","6Hz","square",10,16.9445746153846,16.5144872727273,8.05661692307692,8.77835117632368
"Florida","6Hz","square",11,15.836925,16.6679490200708,10.2804464285714,8.90867877372628
"Florida","6Hz","square",12,17.8224678571429,17.0716067123785,8.39943928571429,9.13919625624376
"Florida","6Hz","square",13,17.1459642857143,17.303529731859,9.11849785714286,9.35735495754246
"Florida","6Hz","square",14,16.5683192307692,17.3285940175733,8.71771692307692,9.39143989260739
"Florida","6Hz","square",15,19.6471615384615,17.1428803206036,9.27599230769231,9.22838757442557
"Florida","6Hz","square",16,16.1120363636364,17.2621258101141,9.053525,9.46888376323676
"Florida","6Hz","square",17,19.1908192307692,17.8190971737505,10.8909923076923,9.47250636063936
"Florida","6Hz","square",18,15.4225089285714,17.6195105853389,11.1103507142857,9.45936957242757
"Florida","6Hz","square",19,15.8065071428571,17.5761538320922,8.76443357142857,9.37504413086913
"Florida","6Hz","square",20,18.0743993333333,17.7665828530712,7.844252,9.4981664035964
"Florida","6Hz","square",21,18.256275,17.4176895963279,10.702075,9.4359135964036
"Florida","6Hz","square",22,21.96361,17.3876873394938,10.320295,9.41754163836164
"Florida","6Hz","square",23,15.6270153846154,17.1437769135561,8.25493461538461,9.20027126328217
"Florida","6Hz","square",24,16.66904,17.2029844934762,8.190918,8.9486452892562
"Florida","6Hz","square",25,18.6630384615385,17.2850640389308,10.0720619230769,8.93605015938607
"Florida","6Hz","square",26,15.8093357142857,17.3886980389308,8.59121142857143,9.13759209878001
"Florida","6Hz","square",27,15.7820115384615,17.3944494025671,8.85143346153846,8.99761196241637
"Florida","6Hz","square",28,16.5078045454545,16.9654285634063,8.50101818181818,8.93085996940938
"Florida","6Hz","square",29,16.0737923076923,17.31461222974,8.342465,9.07067435502377
"Florida","6Hz","square",30,16.7093821428571,17.5465176842854,8.62588714285714,9.08065551586293
"Florida","6Hz","square",31,19.2143733333333,17.6244247938425,10.0612133333333,8.86967075770442
"Florida","6Hz","square",32,18.31954,17.9007218717646,9.1622935,8.90132945900312
"Florida","6Hz","square",33,17.2443807692308,18.0476897039324,9.58602307692308,8.89449005340871
"Florida","6Hz","square",34,19.4680357142857,18.0920105028305,9.79289285714286,8.98623347627373
"Florida","6Hz","square",35,19.22,18.1881521112221,8.30071076923077,9.08793265809191
"Florida","6Hz","square",36,19.5200166666667,18.1692712171162,7.75122958333333,9.20540819755245
"Florida","6Hz","square",37,18.8486035714286,18.2203948534799,8.93945714285714,9.03702475058275
"Florida","6Hz","square",38,17.3986576923077,17.8992853837829,8.7762,8.94432098543124
"Florida","6Hz","square",39,16.9953333333333,17.6060852380952,9.51019583333333,8.72199881177156
"Florida","6Hz","square",40,17.13135,17.3184625698544,9.461156,8.63850565946932
"Florida","6Hz","square",41,16.5016923076923,17.5662009996065,9.91811807692308,8.8152936887128
"Florida","6Hz","square",42,19.7767333333333,17.3623949390004,8.20899541666667,8.76845848183635
"Florida","6Hz","square",43,14.7873358333333,17.6204514325069,8.14255208333333,8.86987069612206
"Florida","6Hz","square",44,14.0191791666667,17.9170893371023,7.14047916666667,8.94653277404414
"Florida","6Hz","square",45,16.3041863636364,18.3686485795265,8.87446818181818,8.92780088010474
"Florida","6Hz","square",46,21.9451227272727,18.494007995111,10.2453790909091,8.68976556192293
"Florida","6Hz","square",47,17.27815,18.9828733048013,7.23604230769231,8.4464605419429
"Florida","6Hz","square",48,21.687225,18.31958709268,10.0549915,8.24015145860957
"Florida","6Hz","square",49,20.6616746428571,18.6987300472255,9.61948285714286,8.28193725406412
"Florida","6Hz","square",50,21.962485,19.3969430981897,9.304145,8.49150278436715
"Florida","6Hz","square",51,18.5103035714286,19.5469067345533,6.8427675,8.38774451990434
"Florida","6Hz","square",52,21.8792107142857,19.281146082579,7.24176285714286,8.09936258234695
"Florida","6Hz","square",53,12.480585,19.1318733553063,5.9395955,8.23921081411518
"Florida","6Hz","square",54,18.9579083333333,18.4921392643972,8.60219583333333,7.94730552623639
"Florida","6Hz","square",55,21.6995227272727,18.4364271756526,9.4457,8.04012261498098
"Florida","6Hz","square",56,17.9537863636364,18.2041258120163,7.73312727272727,7.92664670589007
"Florida","6Hz","square",57,19.0217555555556,17.8621901726556,7.07317777777778,8.03503742267329
"Florida","6Hz","square",58,15.63615,17.575420562266,8.77437285714286,8.21229352656939
"Florida","6Hz","square",59,14.65015,18.1717571531751,6.84403333333333,8.59395810232697
"Florida","6Hz","square",60,20.0488416666667,17.7169692055167,10.6404708333333,8.47819748937931
"Florida","6Hz","square",61,19.40717,17.4515129727343,8.05591,8.4980387772581
"Florida","6Hz","square",62,14.7490115384615,17.4541296669492,8.03506538461538,8.56941220701016
"Florida","6Hz","square",63,18.724745,17.3960897679593,9.19158,8.71331998478794
"Florida","6Hz","square",64,19.0402875,17.2651465861411,10.1379058333333,8.65040245232041
"Florida","6Hz","square",65,13.9552409090909,17.4916520406866,7.32882909090909,8.75429564929011
"Florida","6Hz","square",66,18.7795041666667,17.5630251758847,9.66395416666667,8.74933221688917
"Florida","6Hz","square",67,17.98257,17.2650202108498,8.518235,8.61549948961644
"Florida","6Hz","square",68,18.3833166666667,17.5561788209896,8.65616333333333,8.76181184101504
"Florida","6Hz","square",69,14.195775,17.5365397650456,8.08228,8.66132834451155
"Florida","6Hz","square",70,17.14171,17.5596194728378,7.9868585,8.48629924277995
"Florida","6Hz","square",71,20.8339461538462,17.7195195417083,10.5858730769231,8.40157432542458
"Florida","6Hz","square",72,16.1291153846154,17.3717762336275,6.58375,8.09540677491953
"Florida","6Hz","square",73,17.95175625,17.6668180518093,9.64450125,8.17492359310134
"Florida","6Hz","square",74,18.5087153846154,17.6381066881729,8.08626153846154,8.15981821431346
"Florida","6Hz","square",75,19.2941642857143,18.1288208490121,8.21258571428571,8.3379004520757
"Florida","6Hz","square",76,15.7141416666667,18.0814658490121,6.396855,8.23148067934843
"Florida","6Hz","square",77,14.9543277777778,17.9362146835109,6.29611111111111,7.8835024450827
"Florida","6Hz","square",78,21.22803,17.9127422105294,9.39292,8.10272537896699
"Florida","6Hz","square",79,18.0674916666667,17.6745300720996,8.49000416666667,7.94634158764468
"Florida","6Hz","square",80,19.5936307692308,17.9635300720996,10.0411846153846,8.33369763659573
"Florida","6Hz","square",81,16.620805,17.8144350671046,6.816241,8.28737211711521
"Florida","6Hz","square",82,19.2361833333333,18.0533942162888,6.7581125,8.41919232690542
"Florida","6Hz","square",83,15.8709181818182,18.5449356304302,8.99520227272727,8.90710899357208
"Florida","6Hz","square",84,15.3314227272727,18.5065181304302,7.92427954545454,8.77037971326905
"Florida","6Hz","square",85,21.6877153846154,18.9444784839655,12.3471780769231,9.00848034458219
"Florida","6Hz","square",86,17.6541192307692,19.0538820503991,7.703005,9.00519901591086
"Florida","6Hz","square",87,18.3426923076923,19.7042455818676,7.84687730769231,9.26455542849827
"Florida","6Hz","square",88,20.3612833333333,19.507615978138,11.6631944444444,9.378290655771
"Florida","6Hz","square",89,20.8054375,20.1275556475595,7.88889791666667,9.40565532519248
"Florida","6Hz","square",90,22.8850555555556,21.1672598314438,11.1091111111111,9.56167707106025
"Florida","6Hz","square",91,20.79707,20.7956077834918,10.00509,9.17508360952179
"Florida","6Hz","square",92,23.7748038461538,21.3190787625127,9.66916153846154,9.46659484328802
"Florida","6Hz","square",93,17.0732576923077,21.4692563213176,8.0092,9.53815558391104
"Florida","6Hz","square",94,22.6902545454545,21.2734351091964,9.29621363636364,9.22428822532518
"Florida","6Hz","square",95,26.76816875,21.0248017001054,9.64051875,9.15845296017367
"Florida","6Hz","square",96,17.5995428571429,20.5871121041459,8.09465,8.79987104098175
"Florida","6Hz","square",97,23.4123,20.3392393768731,10.9096285714286,8.54165467734538
"Florida","6Hz","square",98,19.9946454545455,19.8206635726773,8.63404545454545,8.31397726475797
"Florida","6Hz","square",99,18.20725,19.911319237013,8.2106535,8.23720544657615
"Florida","6Hz","square",100,18.07047,19.4913388237898,7.16471,8.04343238872491
