"lab","freq","mod","electrode","x","y","amplitudeSNR"
"Florida","6Hz","square","E97",64.3973497966683,-45.8325114211031,6.02871072537856
"Florida","6Hz","square","E98",61.3490707363697,-27.4299165836118,5.61397025921044
"Florida","6Hz","square","E99",111.844618176326,-90.215004411638,5.53407949138102
"Florida","6Hz","square","E100",107.771903337525,-61.2478444600876,5.19245246964081
"Florida","6Hz","square","E101",87.6147402607277,-51.9804690729627,5.68250125411559
"Florida","6Hz","square","E102",77.0757795587277,-24.2279722926707,5.36404038465622
"Florida","6Hz","square","E103",62.3658981365752,-7.23363018257962,5.19767881221433
"Florida","6Hz","square","E104",45.139000940819,2.34746545549408,5.8746248796955
"Florida","6Hz","square","E105",28.5960902390953,7.43167134886356,5.79339235576645
"Florida","6Hz","square","E106",9.06629877496366,11.5485593631021,5.68212287429639
"Florida","6Hz","square","E107",134.514184844694,-53.5568924748948,5.59397096899287
"Florida","6Hz","square","E108",102.023724252225,-26.0624191069444,5.2307085479867
"Florida","6Hz","square","E109",82.0312253490634,0.356499272328901,5.46582026377923
"Florida","6Hz","square","E110",58.7070104036568,13.6367088941921,4.94283166661925
"Florida","6Hz","square","E111",39.6304283909149,22.4510456227002,5.53978260298832
"Florida","6Hz","square","E112",18.7176485153145,25.0067456910559,5.85330667323195
"Florida","6Hz","square","E113",148.427539841507,9.81951733019121,5.68703400081467
"Florida","6Hz","square","E114",127.856243406767,23.8953117140088,5.06530013161158
"Florida","6Hz","square","E115",106.979294016482,12.6447944916077,5.01433801034866
"Florida","6Hz","square","E116",73.2735964589411,31.8739532843394,5.33229976535794
"Florida","6Hz","square","E117",50.0298983002845,37.5034658673461,5.64119670857523
"Florida","6Hz","square","E118",31.3121246459833,41.9182840077502,5.37368563688928
"Florida","6Hz","square","E119",147.073602828489,55.1905344696692,5.66896060010192
"Florida","6Hz","square","E120",132.385776483018,49.089223063604,5.64689864113575
"Florida","6Hz","square","E121",111.066561880691,61.2336542760814,5.12940181882664
"Florida","6Hz","square","E122",86.5427774390136,55.8179182444255,5.31108923632051
"Florida","6Hz","square","E123",56.2717346283799,54.0022587112168,5.0852377231082
"Florida","6Hz","square","E124",39.5281102525102,53.3724044414846,5.58549387505373
"Florida","6Hz","square","E125",107.29091960617,79.3302648808283,5.50753765543056
"Florida","6Hz","square","E126",71.1683422201787,126.406610434864,5.93039769400797
"Florida","6Hz","square","E127",-71.1683422201787,126.406610434864,6.26300460158318
"Florida","6Hz","square","E128",-107.29091960617,79.3302648808283,5.57240531354959
"Florida","6Hz","square","Cz",0,0,5.63054409412524
"Florida","6Hz","sine","E1",86.719831310897,82.7208230943671,5.28487531604981
"Florida","6Hz","sine","E2",60.5117564493148,76.717478004812,5.39555423186337
"Florida","6Hz","sine","E3",35.2634825458284,69.6677676887961,5.55428773521291
"Florida","6Hz","sine","E4",23.6192388587642,58.8318312797812,5.38777003962898
"Florida","6Hz","sine","E5",11.4069836172611,43.8485528695707,5.27736676859535
"Florida","6Hz","sine","E6",0,28.614,5.36283248673728
