"part","lab","freq","mod","pli","pliZ"
"LE_11","Leipzig","8.57Hz","square",0.811705,-0.255359594488717
"LE_12","Leipzig","8.57Hz","square",0.769035,-0.658392417881425
"LE_13","Leipzig","8.57Hz","square",0.91476,0.718030319144645
"LE_14","Leipzig","8.57Hz","square",0.94849,1.03662176824322
"LE_15","Leipzig","8.57Hz","square",0.8741,0.333982636952296
"FL_01","Florida","8.57Hz","sine",0.591105,0.382617472051945
"FL_02","Florida","8.57Hz","sine",0.658155,0.731352881953713
"FL_03","Florida","8.57Hz","sine",0.40057,-0.608378819158098
"FL_04","Florida","8.57Hz","sine",0.2028855,-1.63656055127929
"FL_05","Florida","8.57Hz","sine",0.569865,0.272145583814606
"FL_06","Florida","8.57Hz","sine",0.888325,1.92849574991926
"FL_07","Florida","8.57Hz","sine",0.43207,-0.444543391687469
"FL_08","Florida","8.57Hz","sine",0.43239,-0.442879031789354
"FL_09","Florida","8.57Hz","sine",0.15346,-1.89362873923007
"FL_10","Florida","8.57Hz","sine",0.252695,-1.37749513145077
"FL_11","Florida","8.57Hz","sine",0.35786,-0.830518854309545
"FL_12","Florida","8.57Hz","sine",0.44887,-0.357164497036466
"FL_13","Florida","8.57Hz","sine",0.56567,0.250326865775264
"FL_14","Florida","8.57Hz","sine",0.522545,0.0260283638809501
"FL_15","Florida","8.57Hz","sine",0.61721,0.518392831865303
"LE_01","Leipzig","8.57Hz","sine",0.758755,-0.755490552975801
"LE_02","Leipzig","8.57Hz","sine",0.624655,-2.02211116738785
"LE_03","Leipzig","8.57Hz","sine",0.976165,1.29802166014369
"LE_04","Leipzig","8.57Hz","sine",0.901675,0.594437994464692
"LE_05","Leipzig","8.57Hz","sine",0.63996,-1.87755017929258
"LE_06","Leipzig","8.57Hz","sine",0.85084,0.114283938285449
"LE_07","Leipzig","8.57Hz","sine",0.647925,-1.8023180152822
"LE_08","Leipzig","8.57Hz","sine",0.830845,-0.0745757126106657
"LE_09","Leipzig","8.57Hz","sine",0.822025,-0.15788364563911
"LE_10","Leipzig","8.57Hz","sine",0.923905,0.80440798893434
"LE_11","Leipzig","8.57Hz","sine",0.686145,-1.44131697215894
"LE_12","Leipzig","8.57Hz","sine",0.734975,-0.980100830460653
"LE_13","Leipzig","8.57Hz","sine",0.855885,0.161935698163963
"LE_14","Leipzig","8.57Hz","sine",0.837945,-0.0075137710571578
"LE_15","Leipzig","8.57Hz","sine",0.731655,-1.01145937214483
"FL_01","Florida","15Hz","square",0.616635,0.515402185173379
"FL_02","Florida","15Hz","square",0.423595,-0.48862292336409
"FL_03","Florida","15Hz","square",0.67896,0.839562280954553
"FL_04","Florida","15Hz","square",0.240335,-1.44178103251544
"FL_05","Florida","15Hz","square",0.526165,0.0448564352283683
"FL_06","Florida","15Hz","square",0.80692,1.50509819521302
"FL_07","Florida","15Hz","square",0.580915,0.329618011546367
"FL_08","Florida","15Hz","square",0.397255,-0.625620547477626
"FL_09","Florida","15Hz","square",0.111486,-2.11194074661586
"FL_10","Florida","15Hz","square",0.48392,-0.174865076946131
"FL_11","Florida","15Hz","square",0.72919,1.10081477371169
"FL_12","Florida","15Hz","square",0.58639,0.358094169178167
"FL_13","Florida","15Hz","square",0.52454,0.0364046076207565
"FL_14","Florida","15Hz","square",0.30871,-1.08615413241054
"FL_15","Florida","15Hz","square",0.64221,0.648420948905485
"LE_01","Leipzig","15Hz","square",0.821015,-0.167423442958693
"LE_02","Leipzig","15Hz","square",0.80398,-0.328324875967711
"LE_03","Leipzig","15Hz","square",0.799255,-0.372954125804377
"LE_04","Leipzig","15Hz","square",0.71075,-1.20891428597245
"LE_05","Leipzig","15Hz","square",0.71775,-1.14279687880702
"LE_06","Leipzig","15Hz","square",0.959265,1.13839534855858
"LE_07","Leipzig","15Hz","square",0.86747,0.271360007022751
"LE_08","Leipzig","15Hz","square",0.75234,-0.816082433970979
"LE_09","Leipzig","15Hz","square",0.741745,-0.9161558523878
"LE_10","Leipzig","15Hz","square",0.873835,0.33147962082389
"LE_11","Leipzig","15Hz","square",0.79338,-0.428445521103936
"LE_12","Leipzig","15Hz","square",0.593165,-2.31954504619349
"LE_13","Leipzig","15Hz","square",0.74286,-0.905624293960735
"LE_14","Leipzig","15Hz","square",0.950785,1.0582988324496
"LE_15","Leipzig","15Hz","square",0.839495,0.00712651195804534
"FL_01","Florida","15Hz","sine",0.50537,-0.0633009525256552
"FL_02","Florida","15Hz","sine",0.37999,-0.715417965105576
"FL_03","Florida","15Hz","sine",0.683575,0.86356547136017
"FL_04","Florida","15Hz","sine",0.136445,-1.98212587568762
"FL_05","Florida","15Hz","sine",0.412584,-0.545892507233268
"FL_06","Florida","15Hz","sine",0.850885,1.73376564183988
"FL_07","Florida","15Hz","sine",0.46463,-0.275194772054336
"FL_08","Florida","15Hz","sine",0.372365,-0.755076540802831
"FL_09","Florida","15Hz","sine",0.188952,-1.70903042203047
"FL_10","Florida","15Hz","sine",0.48455,-0.171588368396718
"FL_11","Florida","15Hz","sine",0.70323,0.965793576977161
"FL_12","Florida","15Hz","sine",0.710745,1.00488002895944
